8 60 1
          calculated               exact               error             rho_max                  n
         10.93261655                  11       0.06738344874                 6.3                 400
         14.92070722                  15       0.07929277529                 6.3                 400
         18.90994515                  19       0.09005485489                 6.3                 400
         22.90009082                  23       0.09990918361                 6.3                 400
         26.89361004                  27         0.106389957                 6.3                 400
         30.91292568                  31       0.08707431772                 6.3                 400
         2.964012951                   3       0.03598704919                 6.4                 400
         6.945647179                   7       0.05435282078                 6.4                 400
         10.93153515                  11       0.06846484629                 6.4                 400
         14.91942383                  15       0.08057616915                 6.4                 400
          18.9084699                  19       0.09153010361                 6.4                 400
         22.89832801                  23        0.1016719943                 6.4                 400
         26.89008757                  27        0.1099124323                 6.4                 400
         30.89648478                  31        0.1035152219                 6.4                 400
         2.963452581                   3       0.03654741925                 6.5                 400
         6.944794935                   7       0.05520506459                 6.5                 400
         10.93045339                  11        0.0695466091                 6.5                 400
         14.91813972                  15        0.0818602762                 6.5                 400
         18.90699583                  19       0.09300417343                 6.5                 400
         22.89662507                  23        0.1033749301                 6.5                 400
         26.88741106                  27         0.112588938                 6.5                 400
         30.88620549                  31        0.1137945064                 6.5                 400
         2.962892271                   3       0.03710772948                 6.6                 400
         6.943942602                   7       0.05605739828                 6.6                 400
         10.92937126                  11        0.0706287374                 6.6                 400
         14.91685487                  15       0.08314512935                 6.6                 400
         18.90552148                  19       0.09447851783                 6.6                 400
         22.89494842                  23        0.1050515843                 6.6                 400
         26.88517135                  27        0.1148286466                 6.6                 400
         30.87966872                  31        0.1203312769                 6.6                 400
          2.96233202                   3       0.03766797987                 6.7                 400
         6.943090178                   7       0.05690982175                 6.7                 400
         10.92828877                  11       0.07171123117                 6.7                 400
         14.91556926                  15         0.084430741                 6.7                 400
         18.90404625                  19       0.09595374688                 6.7                 400
         22.89328227                  23        0.1067177298                 6.7                 400
         26.88314709                  27        0.1168529055                 6.7                 400
         30.87528559                  31        0.1247144057                 6.7                 400
          2.96177183                   3       0.03822817039                 6.8                 400
         6.942237665                   7       0.05776233494                 6.8                 400
         10.92720591                  11       0.07279409031                 6.8                 400
         14.91428288                  15       0.08571711562                 6.8                 400
         18.90256989                  19        0.0974301087                 6.8                 400
          22.8916195                  23        0.1083805034                 6.8                 400
         26.88122415                  27        0.1187758469                 6.8                 400
         30.87207947                  31        0.1279205255                 6.8                 400
         2.961211699                   3       0.03878830103                 6.9                 400
         6.941385062                   7       0.05861493777                 6.9                 400
         10.92612269                  11       0.07387731469                 6.9                 400
         14.91299575                  15       0.08700425468                 6.9                 400
          18.9010923                  19       0.09890770109                 6.9                 400
         22.88995698                  23        0.1100430218                 6.9                 400
         26.87934625                  27        0.1206537527                 6.9                 400
         30.86948563                  31        0.1305143743                 6.9                 400
         2.960651628                   3       0.03934837176                   7                 400
          6.94053237                   7       0.05946763017                   7                 400
          10.9250391                  11       0.07496090415                   7                 400
         14.91170784                  15       0.08829215855                   7                 400
         18.89961344                  19        0.1003865613                   7                 400
          22.8882934                  23        0.1117066004                   7                 400
         26.87748676                  27        0.1225132411                   7                 400
         30.86719528                  31        0.1328047157                   7                 400
