8 50 29
          calculated               exact               error             rho_max                  n
         18.36537142                  19        0.6346285758                 9.7                 100
         22.26282156                  23         0.737178437                 9.7                 100
         26.15526703                  27        0.8447329666                 9.7                 100
         30.04170329                  31         0.958296706                 9.7                 100
         2.783522868                   3        0.2164771319                 9.8                 100
         6.661716553                   7        0.3382834474                 9.8                 100
         10.55791181                  11        0.4420881909                 9.8                 100
         14.45836479                  15        0.5416352149                 9.8                 100
         18.35785439                  19        0.6421456137                 9.8                 100
         22.25374312                  23        0.7462568845                 9.8                 100
         26.14447374                  27         0.855526255                 9.8                 100
         30.02903006                  31        0.9709699412                 9.8                 100
         2.781364017                   3         0.218635983                 9.9                 100
         6.658204696                   7        0.3417953041                 9.9                 100
         10.55313201                  11        0.4468679945                 9.9                 100
         14.45226163                  15        0.5477383679                 9.9                 100
         18.35031784                  19        0.6496821555                 9.9                 100
         22.24463483                  23         0.755365166                 9.9                 100
         26.13363811                  27        0.8663618925                 9.9                 100
         30.01629972                  31        0.9837002811                 9.9                 100
         2.779206213                   3         0.220793787                  10                 100
         6.654691771                   7        0.3453082287                  10                 100
         10.54834703                  11        0.4516529691                  10                 100
         14.44614718                  15        0.5538528157                  10                 100
         18.34276181                  19         0.657238193                  10                 100
         22.23549672                  23        0.7645032777                  10                 100
         26.12276012                  27        0.8772398846                  10                 100
         30.00351225                  31        0.9964877464                  10                 100
          2.89840749                   3        0.1015925102                   5                 110
         6.844640524                   7        0.1553594762                   5                 110
         10.80176758                  11        0.1982324231                   5                 110
         14.76780003                  15        0.2321999717                   5                 110
         18.78878814                  19        0.2112118564                   5                 110
          23.0670056                  23        0.0670055986                   5                 110
         27.91922536                  27        0.9192253631                   5                 110
         33.53086358                  31          2.53086358                   5                 110
         2.896396158                   3        0.1036038424                 5.1                 110
         6.841503268                   7        0.1584967318                 5.1                 110
         10.79759231                  11        0.2024076862                 5.1                 110
         14.76046919                  15        0.2395308063                 5.1                 110
         18.75763518                  19         0.242364824                 5.1                 110
         22.94113493                  23       0.05886506614                 5.1                 110
         27.60885656                  27        0.6088565641                 5.1                 110
         32.98168023                  31         1.981680226                 5.1                 110
         2.894385647                   3        0.1056143526                 5.2                 110
         6.838365607                   7        0.1616343933                 5.2                 110
         10.79345801                  11         0.206541986                 5.2                 110
         14.75420556                  15        0.2457944353                 5.2                 110
         18.73585098                  19        0.2641490193                 5.2                 110
         22.84690239                  23         0.153097609                 5.2                 110
         27.35270983                  27        0.3527098321                 5.2                 110
         32.50193048                  31         1.501930477                 5.2                 110
         2.892375958                   3        0.1076240416                 5.3                 110
         6.835227168                   7        0.1647728324                 5.3                 110
         10.78934131                  11        0.2106586942                 5.3                 110
         14.74853536                  15        0.2514646358                 5.3                 110
          18.7203468                  19        0.2796531957                 5.3                 110
         22.77824791                  23        0.2217520885                 5.3                 110
         27.14590459                  27        0.1459045892                 5.3                 110
          32.0876978                  31         1.087697803                 5.3                 110
         2.890367091                   3         0.109632909                 5.4                 110
         6.832087788                   7        0.1679122123                 5.4                 110
         10.78523049                  11        0.2147695076                 5.4                 110
         14.74318055                  15        0.2568194531                 5.4                 110
         18.70885215                  19        0.2911478513                 5.4                 110
